52.5,1.927,178.082
52.6,1.772,177.911
52.7,1.645,177.928
52.8,1.495,178.004
52.9,1.359,177.563
53,1.221,177.192
53.1,1.072,177.246
53.2,0.934,176.199
53.3,0.792,175.123
53.4,0.625,174.095
53.5,0.481,172.755
53.6,0.334,171.083
53.7,0.187,160.932
53.8,0.074,126.738
53.9,0.145,28.259
54,0.269,12.762
54.1,0.419,7.436
54.2,0.558,5.611
54.3,0.673,4.541
54.4,0.824,4.125
54.5,0.964,3.157
